outcome_type,control_value,treatment_value,effect,sd,power,alpha_two_sided,raw_n_per_arm,inflated_n_per_arm,inflated_total_n,selected_basis
binary,0.17,0.05,0.12000000000000001,,0.8,0.05,105.53630025528506,112,224,False
binary,0.17,0.05,0.12000000000000001,,0.9,0.05,140.78291886676254,149,298,False
binary,0.17,0.07,0.1,,0.8,0.05,164.5844630610008,174,348,False
binary,0.17,0.07,0.1,,0.9,0.05,219.83216797802402,232,464,False
binary,0.17,0.08,0.09000000000000001,,0.8,0.05,210.7854126212843,222,444,False
binary,0.17,0.08,0.09000000000000001,,0.9,0.05,281.6823311772825,297,594,False
binary,0.129,0.05,0.079,,0.8,0.05,203.78527038966038,215,430,False
binary,0.129,0.05,0.079,,0.9,0.05,272.31110237715603,287,574,False
binary,0.129,0.06,0.069,,0.8,0.05,280.95498517075487,296,592,False
binary,0.129,0.06,0.069,,0.9,0.05,375.6196577162253,396,792,True
binary,0.107,0.05,0.056999999999999995,,0.8,0.05,348.32338243325285,367,734,False
binary,0.107,0.05,0.056999999999999995,,0.9,0.05,465.8069307441341,491,982,False
continuous,,,4.09,10.0,0.8,0.05,93.84066013891703,99,198,False
continuous,,,4.09,10.0,0.9,0.05,125.6260192304042,133,266,False
continuous,,,4.09,12.0,0.8,0.05,135.13055060004046,143,286,False
continuous,,,4.09,12.0,0.9,0.05,180.901467691782,191,382,False
continuous,,,4.09,15.0,0.8,0.05,211.14148531256333,223,446,False
continuous,,,4.09,15.0,0.9,0.05,282.65854326840935,298,596,False
